Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ecuador,ECU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,3480,3630,3760,3870,3940,4170,4520,4330,4000,3730,4940,4410,4310,4490,4250,4320,4030,4400,4620,4850,4890,4730,4680,4580,4070,4160,4210,4320,4330,,
"Egypt, Arab Rep.",EGY,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450,10130,10100,10890,10030,11730,12120,11760,12290,12400,13170,13450,14140,14540,15680,15500,15180,14670,14910,14800,14400,14990,14560,14630,14740,15320,15670,15460,15070,15650,,
Euro area,EMU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151310,147870,139900,137890,138840,137760,141640,140430,142140,142540,138520,136120,137110,136010,135990,131610,129370,132280,128000,124900,127480,124690,125920,128400,131020,131400,128790,128930,124180,125310,,
Eritrea,ERI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,1190,1220,990,1020,1030,1200,1380,1470,1510,1570,1420,1390,1420,1440,1480,1420,1530,1520,1520,1470,1550,1550,1570,1570,1580,1600,1600,1620,1620,,
Spain,ESP,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16060,15710,14260,15090,15220,14710,16670,16280,17610,17320,17450,17130,16950,18050,17480,15810,16310,16880,14790,14690,15590,14850,14420,15530,16310,16450,16200,16480,16150,15880,,
Estonia,EST,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1600,1410,1280,1140,1080,1030,1020,1060,1050,1070,1030,1020,1060,1080,1060,1070,1100,1160,1110,1120,1140,1170,1180,1220,1240,1180,1210,1200,1230,,
Ethiopia,ETH,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22140,22100,22590,20020,20260,20410,21620,22080,24240,24020,22640,23430,26940,25670,26540,27890,29270,32780,33690,35260,36910,36280,38300,38970,40500,41550,43160,44120,44290,44480,,
European Union,EUU,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212230,201630,188650,185640,185690,183200,187700,187300,186570,185830,181750,180160,180210,178890,179970,175070,172730,176650,173560,168090,171260,169350,169650,172860,175540,177160,175560,175870,170630,172460,,
Fragile and conflict affected situations,FCS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178480,179220,182810,183700,188220,190700,195200,198220,209610,210270,215440,210050,220920,228000,231820,241910,240130,246660,251700,251480,256770,258330,266000,270970,274060,277240,288620,290800,296460,294710,,
Finland,FIN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150,3810,3770,3790,3860,3820,3780,3810,3730,3760,3810,3760,3880,3780,3850,3990,3770,3940,4200,3890,4070,3670,3680,3710,3780,3730,3700,3700,3700,3770,,
Fiji,FJI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,320,320,350,360,380,380,380,370,350,330,350,360,310,350,340,320,330,340,320,320,320,320,330,150,170,160,180,170,190,,
France,FRA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36340,36790,33920,33890,34380,34960,36330,36120,36240,36440,35530,35650,34610,34350,34650,33420,33190,34400,33200,31770,32380,31300,31970,32860,33130,33800,32240,33160,32710,32830,,
Faroe Islands,FRO,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,,
Gabon,GAB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,270,270,280,270,270,220,240,240,250,230,230,250,270,320,280,320,320,360,290,310,350,340,360,310,340,350,390,330,390,,
United Kingdom,GBR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28890,27830,26940,26840,27540,27430,28330,27650,27160,26880,25660,24930,24900,24370,24370,23840,23300,22940,23040,22270,22620,22660,22410,22520,23330,23300,23120,23410,23090,23270,,
Georgia,GEO,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1520,1390,1190,1010,1010,1040,1090,1090,1190,1220,1160,1160,1130,1130,1210,1090,1000,930,920,900,1110,1220,1350,1290,1140,1150,1050,1030,1020,,
Ghana,GHA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3230,3300,3270,3290,3280,3290,3510,3560,4130,3520,4140,3530,3450,3810,3340,4300,4160,3900,3920,3740,3980,4360,4210,4570,4440,4680,4700,5030,4800,4820,,
Gibraltar,GIB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,2630,2690,2780,2880,2980,2570,2600,2990,2730,2940,3410,3880,3810,3690,4300,4280,4320,4490,4480,4540,4900,5420,5410,5450,5370,6600,6340,5990,6520,,
"Gambia, The",GMB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,290,290,290,290,290,300,290,310,280,310,270,260,300,320,330,350,350,350,370,380,350,310,320,340,340,340,340,340,330,,
Guinea-Bissau,GNB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,490,500,510,520,530,490,480,470,520,510,670,690,690,640,590,670,660,600,650,680,680,740,690,720,750,710,740,770,760,,
Equatorial Guinea,GNQ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Greece,GRC,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380,5330,5150,4730,4870,4670,4830,4640,4540,4520,4540,4360,4430,4480,4150,3980,3750,3580,3820,3400,3770,4320,3720,3740,3610,3440,3450,3510,3320,3280,,
Grenada,GRD,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Greenland,GRL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2090,2210,2330,2320,2360,2300,2360,2300,2480,2520,2590,2570,2840,2900,3090,3060,3160,2880,3210,3390,3610,3680,3710,3640,3820,3820,3870,3890,3940,,
Guam,GUM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,620,610,620,600,690,700,730,730,760,720,730,760,800,880,790,790,800,860,810,850,810,860,900,870,920,850,800,920,890,,
High income,HIC,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546050,534120,526760,525200,531650,528200,534230,530670,533920,547920,545930,551700,545490,510340,537710,508320,525610,530990,507170,498960,493680,551830,553770,516430,530920,527620,515510,537240,530400,513640,,
"Hong Kong SAR, China",HKG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,1580,1570,1520,1450,1750,1590,1770,1780,1770,1970,1850,1520,1960,1940,2170,2150,2110,1890,2010,2000,2270,2150,2320,2260,2200,2390,2450,2540,2500,,
Heavily indebted poor countries (HIPC),HPC,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174030,176840,179270,179580,181720,184960,185290,187790,200240,198720,201560,195670,209160,221350,221640,235690,229720,237550,242940,241930,253070,253690,260930,267550,269380,275930,287820,286940,290150,293220,,
Croatia,HRV,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1740,1670,1410,1390,1350,1380,1700,1340,1360,1420,1350,1540,1460,1680,1530,1970,2050,2390,1320,1420,1560,1350,1160,1140,1220,1170,1290,1290,1250,,
Haiti,HTI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,930,1050,1000,1000,1010,1040,1100,1160,1170,1300,1300,1300,1310,1300,1310,1300,1320,1310,1320,1330,1330,1320,1340,1360,1370,1410,1410,1400,1400,,
Hungary,HUN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5850,5370,4010,4220,4330,4190,4680,4640,4510,4680,4620,4950,4580,4330,4790,4430,4510,4460,4770,4270,4170,4440,4330,4700,4740,4730,4910,4940,5280,5050,,
IBRD only,IBD,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027100,1022770,1018890,1004010,1012420,1048680,1067170,1039030,1052120,1060210,1048640,1065300,1093260,1107800,1138240,1155490,1171400,1201950,1211630,1215640,1249590,1264740,1265120,1267810,1272920,1277360,1294190,1318320,1301760,1315400,,
IDA & IBRD total,IBT,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321960,1320190,1320640,1307130,1321200,1364940,1386270,1364850,1393530,1404060,1397040,1406000,1449720,1480870,1514390,1551630,1564070,1610570,1630060,1637960,1682600,1704320,1712570,1726290,1737450,1750210,1784550,1812860,1805020,1820600,,
IDA total,IDA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294860,297420,301750,303120,308780,316260,319100,325820,341410,343850,348400,340700,356460,373070,376150,396140,392670,408620,418430,422320,433010,439580,447450,458480,464530,472850,490360,494540,503260,505200,,
IDA blend,IDB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75010,74060,74430,74470,75980,78340,78470,82890,85730,87700,88220,88430,89730,93580,94750,100110,100620,105680,108410,112040,114540,117270,116060,120460,121550,123250,129320,132680,135100,138460,,
Indonesia,IDN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54460,54540,56530,55380,56820,59020,61000,58470,59560,57880,58760,58890,61120,61480,63290,64180,65900,67230,69500,72680,72350,75000,76900,74910,77840,78110,79580,85530,88410,87980,,
IDA only,IDX,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219850,223360,227320,228650,232800,237920,240630,242930,255680,256150,260180,252270,266730,279490,281400,296030,292050,302940,310020,310280,318470,322310,331390,338020,342980,349600,361040,361860,368160,366740,,
Isle of Man,IMN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132590,136350,140240,143420,148740,151420,155530,160030,163300,165540,161490,164660,157700,163960,169290,177690,185990,193800,196980,200300,207300,214230,211230,210660,212050,215300,213450,216680,222200,219600,,
Not classified,INX,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8730,8690,8750,9080,9270,9250,9100,9180,9600,9540,9420,9380,9960,9440,9210,9040,8860,8690,8650,8930,8490,8390,8890,8840,8770,8890,8920,9270,9040,8790,,
"Iran, Islamic Rep.",IRN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13620,14190,15970,14360,14840,15140,15570,16540,17260,16680,16670,16860,17720,18350,19430,19880,21650,20350,19430,19330,18900,16020,16760,16430,15350,15140,15670,15180,15390,15910,,
Iraq,IRQ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,2210,2750,3690,3580,3300,3210,3380,3530,3420,3410,5000,5260,2180,2450,2970,2900,2800,3140,3770,3600,3860,4020,4030,3620,2710,3030,3530,3490,4320,,
Iceland,ISL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,350,340,350,340,330,350,350,350,360,350,320,330,330,320,320,340,350,360,320,320,320,330,320,340,340,340,350,340,340,,
Israel,ISR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,710,750,750,810,810,900,880,900,800,840,830,790,850,850,840,880,960,880,820,810,900,900,920,920,960,950,980,980,990,,
Italy,ITA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15490,15230,15070,14720,14390,14190,14490,14080,14150,14240,13970,12600,13580,13220,13640,12990,12870,12970,12340,11130,11090,11090,11570,11530,11350,11490,11620,11530,10680,10650,,
Jamaica,JAM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,390,380,390,400,400,390,390,390,400,410,410,400,430,410,390,310,290,300,290,290,290,310,300,300,280,280,280,280,280,,
Jordan,JOR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,440,500,490,420,450,420,440,420,420,370,370,390,400,480,520,430,630,610,450,520,640,420,590,580,680,670,630,620,620,,
Japan,JPN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890,9600,9690,9720,9760,9250,9030,8870,8630,8610,8640,8550,8830,8810,8930,8800,8650,8610,8320,8060,8110,7580,7150,7510,7650,7350,7440,7510,7530,7530,,
Kazakhstan,KAZ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17120,16060,14180,13180,12550,10510,9080,7870,6440,6030,5750,6550,10900,7650,8610,8920,9740,8680,8860,8280,9670,8530,8280,7390,8750,9490,8630,11870,9470,10680,,
Kenya,KEN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9840,9470,9420,9300,9410,9250,8850,8780,9090,9550,8820,8890,9180,9840,10300,10230,9770,15470,15450,14900,15060,15660,15460,15340,16260,15710,16820,15440,16070,18580,,
Kyrgyz Republic,KGZ,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,2000,1850,1700,1500,1210,1160,1130,1180,1190,1210,1230,1130,1270,1250,1290,1290,1320,1340,1490,1500,1520,1570,1640,1700,1620,1650,1650,1790,1770,,
Cambodia,KHM,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,2670,2850,2930,2890,3060,3250,3170,3050,3420,3090,2890,3050,3200,3340,3270,3610,3740,3750,3930,3880,4080,3860,3860,3820,4060,3830,4360,4260,4110,,
Kiribati,KIR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
St. Kitts and Nevis,KNA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,,
"Korea, Rep.",KOR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360,5240,5480,5550,5650,5810,5830,6130,5580,5300,5060,4800,4660,4700,4980,5250,4710,5040,4760,4610,4700,4640,4820,4730,4630,4710,4760,4790,4890,4930,,
Kuwait,KWT,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,50,50,100,120,130,170,170,180,200,190,170,190,210,190,210,200,210,230,250,220,250,270,280,280,310,310,330,330,340,,
Latin America & Caribbean (excluding high income),LAC,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217300,218300,221500,223650,228270,229610,223620,228680,235060,234590,236460,246390,253650,265450,274030,276910,274880,292630,282050,274870,296500,297270,298140,301250,303750,300640,312890,325530,318840,325400,,
Lao PDR,LAO,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,1420,1500,1510,1590,1630,1590,1630,1500,1420,1520,1580,1660,1700,1860,1860,1810,2020,1950,2060,2300,2100,2300,2370,2360,2470,2610,2520,2500,2560,,
Lebanon,LBN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,300,320,350,300,390,380,390,410,410,420,450,400,430,450,390,360,390,380,420,430,520,550,530,530,540,570,580,550,580,,
Liberia,LBR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,150,150,140,140,140,130,140,140,140,150,150,150,160,160,150,170,190,200,330,230,240,250,240,270,330,280,280,280,310,,
Libya,LBY,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1030,950,970,910,980,930,900,980,1060,900,870,950,970,1070,1140,1220,1280,1280,1320,1370,1370,1380,1380,1290,1250,1310,1310,1320,1330,,
St. Lucia,LCA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,40,60,70,70,30,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
